emp_no,first_name,last_name,from_date,title,salary
10233,Lein,Vendrig,2000-04-28,Senior Staff,40000
10258,Basil,Ishibashi,1997-05-16,Senior Engineer,66280
10272,Yishai,Cannane,1997-10-23,Staff,58070
10282,Hercules,Benzmuller,2001-05-02,Engineer,40000
10283,Kauko,Birjandi,1995-05-26,Senior Engineer,40000
10286,Saddek,Gopalakrishnan,1994-12-24,Staff,40000
10302,Faiza,Baer,1994-07-22,Senior Staff,58239
10305,Hirochika,Piancastelli,1988-10-31,Engineer,52550
10326,Masali,Czap,1998-09-02,Staff,40000
10327,Roded,Facello,1987-09-18,Engineer,54734
10340,Djelloul,Laventhal,1993-03-30,Senior Staff,68132
10347,Pradeep,Kaminger,1998-02-20,Staff,42199
10355,Satyanarayana,Cochrane,1996-01-26,Staff,70434
10356,Vasilis,Standera,1995-06-26,Senior Staff,45376
10363,Toshiki,Muniz,1985-09-11,Assistant Engineer,40401
10364,Nakhoon,Dengi,1985-11-14,Senior Engineer,51401
10372,Anneli,Frijda,1985-07-30,Technique Leader,54505
10387,Parto,Wrigley,1999-01-07,Senior Staff,61374
10395,Takahiro,Deverell,1998-08-10,Engineer,42774
10396,Sibyl,Rahier,1986-01-11,Senior Engineer,40393
10402,Volkmar,Ebeling,1987-01-02,Technique Leader,40000
10404,Prodip,Rosti,1996-08-28,Senior Engineer,51647
10426,Arunas,Luce,1985-07-06,Technique Leader,65757
10429,Martien,Improta,1988-09-23,Senior Engineer,40000
10432,Hisao,Tiemann,1996-08-12,Senior Staff,40000
10442,Volkmar,Unno,1999-02-12,Senior Staff,46005
10451,Bodh,Ranta,1998-03-12,Senior Engineer,46275
10453,Tsvetan,Matzel,1993-04-02,Senior Staff,40000
10463,Ung,Zaiane,1994-02-17,Staff,66480
10466,Jiakeng,Himler,1997-08-22,Staff,55318
10486,Amstein,Kossowski,1996-10-07,Senior Engineer,71692
10494,Yakkov,Servieres,2000-12-17,Senior Engineer,50094
10504,Xiong,Varker,1999-10-19,Staff,43931
10512,Udi,Gihr,1998-11-28,Senior Staff,40000
10519,Yonghoan,Alencar,2000-12-05,Senior Staff,40000
10522,Marke,Cesareni,1995-12-12,Senior Staff,40000
10538,Przemyslawa,Falby,1987-07-23,Senior Engineer,72002
10541,Godehard,Eiter,1986-02-28,Staff,50741
10548,Ramalingam,Gunderson,1993-07-04,Senior Staff,90631
10564,Jianhao,Thisen,2000-11-22,Senior Engineer,46660
10575,Theirry,Yeung,1988-10-04,Senior Engineer,40523
10591,Hidde,Hettesheimer,1987-06-18,Staff,55131
10608,Adhemar,Talmor,1986-05-25,Senior Engineer,40000
10617,Hidekazu,Angel,1991-10-30,Senior Staff,40000
10623,Aleksander,Danlos,1999-01-15,Senior Engineer,60268
10628,Krisda,Krogh,2001-03-14,Senior Engineer,41650
10629,Lalit,Francisci,1999-10-20,Staff,87045
10631,Inderjeet,Chaudhuri,1994-10-18,Engineer,40000
10642,Hirochika,Narlikar,1998-10-05,Engineer,40000
10653,Otmar,Feinberg,1987-04-30,Senior Engineer,40000
10671,Parviz,Rebaine,2001-09-13,Senior Staff,74037
10672,Bluma,Zeilberger,1991-09-29,Senior Engineer,64663
10676,Valeri,Danley,1999-09-04,Engineer,58226
10693,Berhard,Daescu,1991-01-08,Senior Staff,40000
10694,Rildo,Straney,1993-01-25,Senior Staff,53020
10702,Bader,Szemeredi,1991-01-14,Senior Engineer,46581
10718,Adib,Rullman,1997-07-21,Senior Engineer,75473
10726,Zita,Minakawa,2001-02-24,Senior Engineer,46315
10731,Fumitaka,Peak,1994-02-20,Senior Staff,77892
10734,Sachar,Erdi,1995-12-19,Engineer,47377
10745,Poorav,Ranze,1997-01-22,Senior Engineer,40000
10749,King,Brendel,1990-09-26,Senior Engineer,60829
10751,Jordanka,Ushiama,1999-12-14,Engineer,50052
10767,Monique,Doering,1997-07-15,Staff,40651
10768,Ishfaq,Candan,1990-07-04,Senior Engineer,65717
10777,Mizuhito,Kemmerer,1996-03-16,Senior Engineer,40000
10778,Selwyn,Merey,1986-07-04,Senior Staff,64996
10791,Tadahiko,Sgarro,1995-07-31,Senior Engineer,40000
10795,Supot,Naudin,1999-05-03,Senior Staff,84206
10803,Katsuyuki,Velasco,1997-04-20,Senior Engineer,54260
10808,Chenxi,Leijenhorst,1987-03-07,Senior Engineer,40000
10835,Tomoyuki,Kermarrec,1995-08-22,Engineer,40000
10836,Jianhua,Leivant,1987-08-10,Senior Staff,65502
10844,Dipayan,Koprowski,1997-04-25,Engineer,40000
10847,Theirry,Danley,1992-07-24,Senior Staff,40000
10848,Fen,Bratsberg,1992-04-20,Senior Engineer,50475
10867,Billur,Gyorkos,1997-03-23,Engineer,40000
10878,Lakshmi,Deville,1997-04-25,Staff,72102
10879,Muzhong,Chleq,1985-08-15,Senior Engineer,65651
10883,Shimshon,Champarnaud,1996-12-28,Engineer,40000
10895,Vishwani,Petersohn,1986-04-26,Staff,67103
10909,Georgi,Atchley,2000-12-26,Senior Engineer,80935
10912,Oscal,Fasbender,1991-04-23,Senior Staff,45665
10918,Susumu,Reghbati,1990-01-29,Staff,59521
10921,Mara,Bahi,1995-07-27,Senior Engineer,72601
10924,Hironoby,Atchley,1997-08-14,Senior Staff,84783
10927,Gal,Scallan,1993-09-12,Senior Staff,51819
10936,Mountaz,Schicker,1996-05-08,Senior Staff,40000
10943,Berna,Skafidas,1999-05-22,Senior Engineer,45890
10965,Eckart,Braunschweig,1986-07-29,Senior Staff,61654
10969,Premal,Noriega,1994-05-12,Senior Engineer,40000
10974,Muneo,Papsdorf,1999-05-17,Senior Engineer,56005
10986,Masako,Schiper,1985-10-11,Technique Leader,43900
10988,Chinya,Deyuan,1985-06-19,Senior Engineer,54174
10989,Sumali,Candan,1991-07-20,Senior Staff,46406
10990,Shin,Foote,1990-08-06,Technique Leader,40000
11009,Alper,Axelband,1993-09-09,Senior Staff,75111
11012,Taegyun,Speckmann,1996-07-06,Staff,72092
11019,Leon,Huttel,1997-05-24,Senior Engineer,69387
11021,Srinidhi,Henders,1998-02-02,Staff,62670
11027,Remzi,Cappello,1996-05-06,Senior Engineer,40000
11028,Miyeon,Krider,1991-06-18,Senior Engineer,41111
11031,Ottavia,Walstra,1993-10-24,Senior Staff,71654
11037,Lansing,Maliniak,1995-01-28,Senior Engineer,40000
11038,Jinya,Beidas,1992-07-15,Senior Staff,44993
11042,Gou,Breugel,2000-06-21,Senior Engineer,40000
11048,Jaques,Demke,1999-05-27,Senior Staff,65697
11050,Elvis,Katiyar,1991-05-06,Senior Staff,52251
11051,Przemyslawa,Erol,2000-03-26,Senior Engineer,40000
11070,Adib,Raney,1991-07-24,Senior Engineer,40000
11081,Barry,Boyle,1994-06-17,Senior Staff,65686
11085,Hailing,Thummel,1996-02-10,Senior Engineer,66437
11100,Berna,Cochrane,1993-10-13,Senior Staff,40000
11106,Aris,Iwayama,1997-08-30,Senior Engineer,71446
11110,Valeska,Birjandi,1987-11-14,Staff,43063
11112,Boaz,Mukaidono,1995-04-28,Staff,40000
11113,Shahab,Peng,1991-11-30,Senior Staff,66401
11121,Vugranam,Kakkad,1999-11-01,Senior Engineer,40000
11133,Nalini,Azulay,1994-03-06,Technique Leader,40000
11134,Sachar,Rajcani,2002-05-19,Senior Engineer,58731
11137,Hugh,Luca,1995-03-16,Engineer,40000
11139,Bogdan,Homond,1995-05-11,Senior Staff,63596
11146,Ishfaq,Masand,1997-08-21,Senior Staff,96019
11148,Zhanqiu,Botman,1997-02-08,Senior Staff,56344
11162,Kauko,Narlikar,1990-03-28,Senior Engineer,69873
11180,Mitsuyuki,Bojadziev,1992-06-10,Senior Engineer,40000
11197,Tadahiro,Fordan,1989-09-12,Senior Staff,88741
11203,Sakthirel,Yetto,1996-01-06,Senior Staff,68049
11204,Diederik,Covnot,1985-09-18,Technique Leader,40000
11207,Saeed,Gips,1999-01-31,Engineer,49728
11208,Saniya,Valtorta,1994-11-17,Technique Leader,83660
11211,Yurij,Rissland,1985-09-17,Senior Engineer,72668
11217,Kellie,Mawatari,1990-03-11,Senior Engineer,40000
11232,Hidefumi,Crelier,2000-08-01,Senior Staff,43863
11240,Kiam,Condotta,1997-01-06,Engineer,61739
11249,Randi,Cyre,1994-09-22,Engineer,43324
11251,Bezalel,Chinal,1993-06-15,Senior Staff,69432
11268,Aimee,Petersohn,1995-10-25,Senior Engineer,40000
11275,Hitomi,Eppinger,1998-04-25,Senior Engineer,58382
11290,Visit,Dredge,1999-05-13,Engineer,65034
11291,Gino,Glowinski,1985-10-20,Senior Engineer,54307
11295,Abdelkader,Lanzelotte,1990-05-15,Senior Staff,66622
11319,Pranas,Marrakchi,1998-11-01,Assistant Engineer,40000
11320,Atilio,McAlpine,1998-04-06,Senior Staff,45118
11322,Nathalie,Pocchiola,1999-07-08,Senior Engineer,43021
11324,Kauko,Billingsley,1985-08-29,Senior Engineer,54288
11338,Kwangsub,Hanratty,1998-10-28,Senior Staff,82210
11339,Flemming,Massonet,1989-12-19,Senior Engineer,40000
11347,Anneli,Jonsson,1992-04-19,Senior Engineer,41524
11365,Toshimi,Shinomoto,1997-12-18,Engineer,56463
11376,Valery,Suomi,1994-03-14,Senior Staff,46964
11380,Kenroku,Pelc,2001-04-18,Senior Engineer,53345
11385,Shiv,Ullian,1999-08-08,Engineer,40000
11386,Alselm,Assaf,1993-11-29,Senior Engineer,47726
11393,Junsik,Junot,1992-04-30,Senior Engineer,40000
11398,Oscar,Peir,2001-09-07,Senior Staff,44625
11404,Bedrich,Borovoy,1990-09-25,Technique Leader,42907
11415,Sanjiv,Anido,1996-12-07,Engineer,40000
11421,Josyula,Msuda,1995-09-02,Senior Engineer,52416
11431,Youngkon,Picht,1991-09-16,Senior Staff,44804
11441,Marlo,Aingworth,1987-03-27,Senior Staff,67352
11449,Kotesh,Asser,2000-02-03,Senior Engineer,61434
11459,Duke,Suomi,1992-05-02,Senior Staff,40000
11461,Kish,Cronau,1992-08-18,Senior Engineer,49398
11469,Guttorm,Giaccio,1999-09-08,Senior Engineer,44625
11477,Fox,Narahari,1996-07-28,Engineer,40000
11501,Karsten,Ranum,1999-10-24,Senior Staff,48608
11506,Rance,Picel,1996-04-08,Staff,89747
11509,Aleksander,Feldhoffer,1992-11-11,Senior Engineer,40000
11513,Otmar,Mahnke,1998-08-25,Senior Staff,82525
11515,Ulf,Basawa,1998-09-21,Staff,70182
11518,Jinxi,Oxman,1999-09-22,Senior Staff,40000
11524,Xiadong,Standera,1996-07-05,Senior Engineer,41081
11527,Alagu,Boyle,1999-01-28,Staff,60212
11528,Zito,Dolinsky,1987-06-15,Technique Leader,44026
11537,DAIDA,Pehl,1986-07-06,Senior Staff,96023
11554,Subhash,Taubenfeld,1998-07-15,Staff,46065
11555,Kotesh,Perfilyeva,1991-10-14,Senior Staff,40000
11562,Rimli,Alencar,1988-06-30,Engineer,82255
11567,Teiji,Mitzlaff,1996-02-03,Senior Staff,86261
11568,Martins,Fujisaki,2000-03-13,Senior Engineer,54673
11578,Edwin,Rosti,1991-11-22,Senior Engineer,40000
11588,Kaijung,Panangaden,1994-12-24,Senior Staff,40000
11603,Herb,Swen,1994-04-13,Senior Staff,69180
11607,Tomokazu,Foong,1995-04-19,Engineer,49584
11615,Shem,Isaak,2000-08-28,Senior Staff,46591
11624,Adil,Gammage,1996-07-15,Senior Engineer,42001
11628,Fan,Malinowski,1997-10-23,Senior Engineer,43966
11640,Valeri,Coorg,1988-09-26,Senior Engineer,52520
11647,Magy,Nitsche,1993-05-11,Senior Engineer,40000
11660,Gill,Stenning,1994-11-22,Senior Staff,65758
11673,Henk,Felder,1989-06-10,Technique Leader,40000
11676,Valeri,Ferriere,1998-07-15,Engineer,43310
11681,Fumitake,Benzmuller,1995-08-28,Senior Engineer,40000
11684,Oksana,Gide,1995-02-21,Senior Staff,68753
11696,Dante,Rothe,1994-10-23,Senior Staff,51633
11705,Arve,Hofmeyr,1990-10-30,Senior Staff,79701
11732,Sanjoy,Ranft,1996-12-22,Senior Engineer,40000
11735,Amalendu,Picci,1997-07-14,Senior Staff,40000
11738,Tadahiro,Lichtman,1992-06-18,Senior Engineer,58432
11746,Koichi,Marrakchi,1995-11-18,Senior Staff,55951
11747,Aksel,Kossowski,1993-02-20,Senior Staff,90239
11751,Jiafu,Emiris,1993-11-03,Senior Staff,40000
11764,Sanjay,Anick,1996-12-15,Senior Engineer,64875
11769,Chandrasekaran,Lampe,2001-10-22,Senior Staff,40000
11772,Gaurav,Penz,1999-11-07,Engineer,61295
11797,Chenxi,Thambidurai,1996-08-30,Senior Staff,88050
11805,Rosine,Grandbois,1985-09-01,Assistant Engineer,40000
11810,Amabile,Bhattacharjee,1992-01-05,Senior Engineer,41256
11813,Gita,Muhlberg,1987-03-16,Staff,94687
11817,Niranjan,Markovitch,1993-04-12,Senior Staff,50638
11832,Arto,Zlotek,1996-02-04,Engineer,40000
11838,Taiji,Nitta,1986-07-11,Staff,68674
11844,Shawna,Demeyer,1995-01-27,Senior Engineer,78049
11853,Zeljko,Kusakabe,1996-11-17,Senior Staff,61941
11857,Divier,Farrag,1986-08-27,Senior Staff,94805
11864,Pradeep,Kriebel,1995-11-02,Staff,52517
11871,Nalini,Sommen,1998-10-13,Senior Engineer,67424
11872,Cheong,Riexinger,2002-02-12,Senior Staff,43159
11883,Nectarios,Bhattacharjee,1988-04-16,Engineer,58135
11894,Mitchel,Validov,1988-06-22,Senior Engineer,56198
11897,Cordelia,Setlzner,1997-06-16,Senior Staff,80049
11906,Hideo,Boguraev,1999-02-07,Engineer,81324
11915,Miomir,Mawatari,2001-06-28,Senior Engineer,58042
11931,Gunilla,Chiodo,2000-01-13,Senior Staff,73369
11933,Basil,Erman,1992-06-12,Senior Engineer,56130
11949,Martijn,Harbusch,1985-03-11,Technique Leader,40000
11983,Jaana,Hedayat,1994-10-11,Senior Engineer,40000
11987,Vidya,Schaar,1994-10-17,Senior Staff,40000
11988,Chinya,Chinin,1990-11-03,Senior Engineer,57652
11993,Marit,Dalphin,1996-10-22,Senior Staff,56505
12011,Zhilian,Coorg,1997-07-22,Senior Staff,85833
12025,Jaewoo,Heiserman,1985-02-28,Staff,62126
12033,Visit,Serot,1997-11-30,Engineer,49992
12036,Mads,Ratzlaff,1995-09-05,Senior Staff,67143
12037,Arunas,Katzenelson,1992-09-30,Senior Staff,47805
12050,Yuchang,Tchuente,1996-04-01,Engineer,46704
12052,Masako,Khasidashvili,1986-04-07,Technique Leader,40000
12062,Margareta,Worfolk,1996-01-04,Senior Staff,44199
12069,Ayonca,Burnard,1995-05-13,Senior Engineer,51928
12070,Ger,Shokrollahi,1988-11-14,Technique Leader,50233
12076,Karlis,Siprelle,1985-03-25,Senior Staff,75381
12082,Xinan,Yamaashi,1992-01-29,Senior Staff,72118
12087,Weijing,Jumpertz,1986-08-16,Engineer,45432
12089,Bilhanan,Socorro,1994-10-22,Senior Staff,46288
12099,Nobuyoshi,Kuzuoka,1999-02-15,Senior Staff,104610
12103,Becky,Erie,1990-04-23,Staff,56188
12112,Satyanarayana,Avouris,1997-09-26,Senior Staff,76538
12122,Satoru,Krone,1992-07-23,Senior Engineer,46398
12123,Xiahua,Syrzycki,1994-07-18,Senior Staff,64879
12125,Shounak,Erman,1997-03-31,Engineer,41215
12128,Yannik,Barreiro,1997-08-16,Staff,81527
12149,Suebskul,Grandbois,1988-10-01,Senior Staff,109934
12159,Shem,Perly,1985-07-17,Senior Engineer,61210
12165,Xiaobin,Maquelin,1994-08-29,Senior Engineer,41951
12173,Adel,Nanard,1998-09-20,Senior Engineer,58321
12183,Harngdar,Iisaku,1998-04-04,Engineer,40000
12192,Feiyu,Klyachko,1991-09-02,Senior Engineer,41625
12205,Sushant,Rossi,1987-11-11,Senior Engineer,40000
12206,Barton,Janetzko,2001-03-27,Senior Engineer,40000
12218,Yaghout,Strooper,2000-03-11,Senior Engineer,40000
12221,Vincent,Melter,1991-09-16,Senior Engineer,56736
12222,Abdelwaheb,Holburn,1996-08-14,Senior Staff,55840
12223,Niteen,Koyama,1995-08-13,Senior Engineer,54459
12247,Subbu,Penttonen,1985-04-09,Technique Leader,59183
12249,Eldridge,Sadowski,1996-06-20,Senior Engineer,70099
12254,Chaitali,Stafford,1988-12-23,Engineer,44848
12256,Guadalupe,Reghbati,1992-08-26,Senior Staff,40000
12264,Mart,Pagter,1998-01-09,Engineer,51816
12270,Shakhar,Kornyak,1996-08-19,Senior Staff,52840
12272,Behnaam,Grandbois,1992-12-07,Senior Staff,43811
12274,Garnik,Papadias,1988-04-01,Engineer,40000
12276,Yongmin,Lenart,2001-06-13,Senior Engineer,59844
12303,Godehard,Braccini,1988-06-13,Senior Staff,40000
12308,Mototsugu,Cronau,1991-08-11,Senior Staff,58741
12311,Susanne,Lubachevsky,1985-10-22,Senior Engineer,40000
12312,Chenye,Velasco,1994-11-24,Engineer,52344
12327,DAIDA,Bruckman,1992-10-15,Senior Engineer,67449
12335,Arnould,Genin,1995-12-01,Senior Staff,40000
12341,Rasiah,Luga,1990-05-25,Senior Engineer,40000
12343,Sorina,Slaats,1997-08-25,Senior Staff,52134
12365,Kamakshi,Bisiani,1994-09-12,Senior Engineer,40000
12373,Mooi,Driscoll,1993-11-11,Senior Staff,75986
12395,Sanjit,Felder,1995-06-05,Senior Staff,66909
12399,Mihalis,Luga,1996-12-06,Senior Staff,85582
12411,Shao,Ibel,1991-08-17,Senior Staff,97610
12413,Hugh,Gadepally,1999-03-04,Senior Engineer,53179
12415,Uri,Sluis,1994-10-17,Staff,53615
12417,Dannz,Spelt,1998-02-02,Senior Engineer,67342
12422,Berhard,Demos,2001-06-07,Senior Staff,71376
12451,Pramod,Marzano,1991-11-26,Senior Engineer,40000
12454,Kerryn,Farris,1998-12-18,Staff,41347
12464,Shai,Milicic,1998-06-01,Staff,50448
12475,Filipe,Roison,1996-04-25,Senior Engineer,40000
12478,Yahiko,Hopewell,1997-07-05,Senior Staff,50404
12487,Mona,Reghbati,1998-12-07,Senior Staff,40000
12489,Arnould,Munck,1986-04-11,Senior Engineer,63306
12490,Jackson,Muchinsky,2000-05-08,Senior Engineer,40000
12493,Filipp,Menhardt,1988-08-08,Senior Engineer,40000
12497,Stein,Penz,1997-09-25,Senior Staff,81191
12501,Morrie,Matheson,1986-06-05,Senior Staff,76082
12504,Adly,Rosaz,1997-08-14,Engineer,40000
12514,Tomofumi,Melter,1999-11-13,Engineer,54241
12528,Conor,Cincotta,1997-09-24,Senior Staff,40000
12534,Yongmao,Gerlach,1985-08-14,Senior Engineer,66715
12541,Shih,Nanard,1996-08-31,Senior Staff,93105
12542,Kazuhide,Bouloucos,1993-09-11,Senior Staff,44176
12551,Jeane,Tzvieli,1993-12-03,Senior Engineer,40000
12553,Aral,Vesna,1987-02-28,Senior Staff,40000
12557,Stafford,Kopetz,1988-03-20,Senior Engineer,41840
12589,Anoosh,Chleq,1997-09-08,Senior Engineer,59441
12596,Breannda,Roisin,1996-09-29,Senior Staff,40000
12601,Ghassan,Simkin,2002-07-09,Senior Engineer,41714
12608,Nectarios,Mondadori,2000-02-22,Senior Staff,40000
12635,Xinyu,Restivo,2000-02-03,Senior Engineer,40000
12637,Poorav,Karner,1995-11-02,Senior Staff,44370
12638,Yuqun,Seiwald,1999-04-29,Engineer,56677
12642,Suebskul,Gips,2001-10-28,Senior Staff,68271
12651,Pragnesh,Bael,1988-01-27,Senior Staff,75150
12662,Leucio,Alvarado,1994-08-27,Engineer,69016
12663,Nobuyoshi,Stellhorn,1986-09-29,Technique Leader,49966
12664,Zhonghua,Parveen,1999-08-04,Staff,40000
12678,Carrsten,Borovoy,1999-06-26,Engineer,44529
12689,Luerbio,Boudaillier,2001-11-23,Senior Engineer,59689
12691,Oddvar,Gils,1998-08-25,Senior Engineer,48493
12694,Kazuhira,Luders,1995-12-01,Engineer,53019
12697,Uri,Brizzi,1994-07-11,Senior Staff,40000
12709,Ronghao,Botman,2001-02-25,Senior Engineer,45510
12717,Tzu,Jiafu,1999-10-20,Staff,53194
12722,Elliott,Cheshire,1985-03-29,Senior Staff,62325
12726,Fumitake,Panwar,1994-05-19,Senior Engineer,61177
12729,Nahla,Rahier,1997-10-15,Senior Engineer,51796
12730,Barry,Perl,1993-07-24,Technique Leader,40000
12731,Yongmao,Waymire,1988-04-05,Senior Staff,40000
12732,Mara,Takanami,1988-04-06,Senior Staff,74436
12734,Gil,Frijda,1986-03-03,Senior Engineer,40000
12755,Rildo,Rodite,1994-03-18,Senior Staff,40196
12759,LiMin,Kuszyk,1987-05-31,Senior Staff,49963
12773,Jenwei,Lovengreen,1994-03-05,Senior Engineer,65556
12775,Mariangiola,Berendt,1999-02-24,Engineer,69805
12790,Gunilla,Perl,2000-08-07,Senior Staff,87760
12795,Masoud,Fordan,1997-06-23,Senior Staff,56969
12798,Lillian,Beeson,1996-12-26,Senior Staff,81145
12803,Gad,Boissier,1990-03-16,Senior Staff,91789
12815,Sushant,Junot,1993-02-27,Senior Staff,65073
12816,Freyja,Ramras,1992-04-18,Senior Engineer,66194
12819,Mountaz,Gubsky,1996-09-09,Senior Engineer,48455
12846,Krisda,Cyne,2000-10-15,Senior Staff,63962
12848,Kazuhide,Smeets,1997-05-11,Engineer,40000
12853,Mang,Brobst,1993-01-04,Senior Staff,47160
12863,Leif,Matheson,1990-09-06,Senior Engineer,62803
12872,Marl,Schmittgen,1993-09-09,Senior Staff,56040
12876,Apostol,Goodrum,1999-09-01,Engineer,42277
12879,Baruch,Eugenio,1995-06-11,Senior Engineer,40000
12888,Martien,Erni,1992-05-06,Senior Staff,41673
12890,Neven,Casley,1985-10-31,Senior Staff,66803
12893,Licheng,Crouzet,1995-03-18,Senior Staff,50803
12895,Roddy,Serot,1993-08-15,Senior Engineer,40000
12905,Munehiro,Gecsei,1993-07-18,Senior Engineer,58659
12922,Jacqueline,Porenta,1985-11-20,Senior Staff,69441
12926,Heekeun,Luby,1992-12-24,Senior Staff,68314
12937,Arup,Cincotta,1991-10-27,Staff,59206
12940,Odinaldo,Farrar,1992-12-11,Senior Engineer,49760
12941,Tommaso,Perelgut,1995-11-06,Senior Engineer,67069
12949,Geoff,Asrin,1992-02-12,Senior Engineer,40000
12951,Mohammad,Keirsey,1987-09-17,Senior Staff,60566
12972,Juyoung,Azevdeo,1988-04-03,Staff,40000
12974,Gift,Frolund,1994-10-24,Senior Staff,93034
12977,Byong,Markovitch,1992-08-23,Senior Engineer,61326
12983,Elliott,Hambrick,1999-06-28,Staff,57252
13012,Florina,Harbusch,1987-12-24,Senior Engineer,40000
13030,Yahiko,Kroll,1999-11-25,Senior Staff,51770
13046,Vivian,Stafford,1987-04-19,Senior Staff,40000
13047,Atilio,Chelton,1997-02-25,Senior Engineer,52323
13049,Fan,Naudin,1985-10-06,Staff,60266
13062,Xinglin,Baak,1993-01-08,Technique Leader,55665
13075,Rosella,Morrin,1991-08-17,Senior Staff,40000
13076,Deniz,Skafidas,1995-01-28,Engineer,50582
13096,Ibibia,Armand,2001-04-22,Senior Engineer,52544
13103,Srinidhi,Ellozy,1988-06-19,Senior Engineer,40000
13113,Kwun,Landherr,1993-01-16,Staff,66941
13124,Quingbo,Garnick,1985-03-17,Senior Staff,73785
13133,Guther,Senzako,1991-09-03,Senior Staff,67777
13134,Lorien,Chepyzhov,1993-10-22,Senior Engineer,51227
13144,Persi,Nollmann,1997-06-19,Senior Staff,52825
13146,Haldon,Erie,1985-05-25,Senior Staff,61398
13147,Shichao,Ginesta,1998-06-29,Senior Staff,77429
13156,Akeel,Millington,2000-08-18,Senior Engineer,48285
13165,Lucian,Benner,1995-03-17,Senior Engineer,42796
13168,Munir,Stentiford,1992-09-10,Senior Engineer,49210
13170,Cheong,Bernardeschi,1998-01-09,Senior Staff,49012
13171,Anoosh,Birnbaum,1995-08-31,Senior Engineer,40000
13173,Arve,Horswill,1996-09-23,Senior Staff,46354
13179,Moty,Janocha,1999-02-19,Staff,90233
13182,Kokou,Rodite,1999-03-03,Engineer,46832
13186,Kyoichi,Barbanera,1995-04-29,Senior Staff,93138
13192,Rosita,Flowers,1993-02-01,Technique Leader,43986
13202,Aram,Scharstein,1992-03-28,Senior Staff,51915
13210,Jianhua,Klassen,2002-07-27,Senior Staff,83961
13213,Hein,Billawala,1993-08-30,Senior Staff,61131
13221,Premsyl,Famili,1993-02-26,Senior Staff,47724
13232,Mitchel,Fujisaki,1986-06-02,Technique Leader,40000
13233,Alselm,Chvatal,1995-03-31,Senior Engineer,49414
13238,Ebru,Foote,1998-10-10,Senior Staff,40000
13240,King,Pileggi,2001-03-10,Senior Engineer,49018
13243,Fay,Huxford,1999-09-18,Staff,67269
13250,Zeydy,Schusler,1998-10-27,Senior Engineer,47829
13272,Arun,Jiang,1985-03-10,Senior Staff,40000
13276,Yechiam,Seuren,1991-03-09,Senior Staff,65836
13288,Muneo,Broomell,1995-04-14,Senior Staff,40000
13291,Georg,Stamatiou,1993-10-30,Senior Engineer,54720
13299,Guiseppe,Butner,1997-03-08,Staff,40000
13302,Mack,Alencar,1997-09-26,Senior Engineer,40000
13305,Bikash,Herath,1994-07-17,Senior Staff,104969
13315,Sakthirel,Stroustrup,1999-06-02,Senior Engineer,40000
13332,Nidapan,Pearson,1997-09-23,Senior Engineer,40000
13333,Yoshinari,Hennebert,1996-03-23,Engineer,50997
13341,Bodh,Doering,1992-03-10,Senior Staff,40000
13343,Heon,Usery,1995-07-30,Senior Staff,40000
13368,Kiyokazu,Klassen,1997-09-30,Staff,52872
13371,Nakhoon,Riexinger,1991-12-13,Senior Engineer,40000
13373,Juichirou,Naumovich,2000-08-23,Senior Staff,82749
